,id,total_ratings,popularity,median_property_price,total_stops,compoetitiveness,entropy
69,5546469c498e0442b0e22df1,8,POPULAR,2279279.0,19,-0.0684931506849315,1.4499021057294614
220,4f177ab5e4b01130e70c27cf,0,HIGHLY UNPOPULAR,437500.0,27,-0.058823529411764705,1.3587428145434972
229,52698f5911d23c1c66d64564,187,HIGHLY UNPOPULAR,2279279.0,25,-0.0641025641025641,1.525318257188762
202,4da2442cb521224b289c06ee,0,HIGHLY UNPOPULAR,2279279.0,24,-0.06944444444444445,1.4563212285329856
225,4d9f1c39daf0dcb397f7a8a3,153,HIGHLY UNPOPULAR,449000.0,16,-0.038461538461538464,1.3686610409455904
65,4bc12cd8920eb71380691a2c,0,POPULAR,970000.0,28,-0.08888888888888889,1.4742342100249761
146,4ae5c608f964a520eea121e3,0,NEUTRAL,831666.6666666666,31,-0.045454545454545456,1.2055908646113056
49,55d8d389498ed48379f3e49b,107,HIGHLY POPULAR,970000.0,21,-0.08333333333333333,1.4836289991896385
103,4b9d63def964a52024a936e3,21,NEUTRAL,630000.0,7,0.0,0.978347485907939
153,4db7699c4df0ded98ba84515,0,UNPOPULAR,831666.6666666666,32,-0.02564102564102564,1.3999886152973042
51,4f88a769e4b04a075dee13fc,0,POPULAR,2279279.0,29,-0.03333333333333333,1.4815392939631549
47,42474900f964a52078201fe3,355,HIGHLY POPULAR,977100.0,13,-0.125,1.4409156397381786
207,4ba02a71f964a520df5e37e3,0,HIGHLY UNPOPULAR,437500.0,30,0.0,1.195261601815712
248,4b638e1df964a52011832ae3,0,HIGHLY UNPOPULAR,1225401.0623052958,33,-0.02702702702702703,1.4582869264731069
67,4e63f350ae60e9edf6681617,0,POPULAR,437500.0,20,-0.03225806451612903,1.3213304843623428
165,5c26aee2b8fd9d002cedebb4,0,UNPOPULAR,1225401.0623052958,10,-0.027777777777777776,1.4392352802312947
193,4b21974df964a520833e24e3,8,UNPOPULAR,831666.6666666666,23,-0.02127659574468085,1.483090891093215
197,4c5f57e947429c74473d157a,0,UNPOPULAR,437500.0,29,-0.07142857142857142,1.3722508383202894
243,4cf2daa5e9425481258c72c5,0,HIGHLY UNPOPULAR,2279279.0,19,-0.06153846153846154,1.4358111268563012
20,44acde31f964a52013351fe3,266,HIGHLY POPULAR,2227931.0,13,-0.09302325581395349,1.3309033403088935
115,4e007d281495692a4bb5c5a5,0,NEUTRAL,831666.6666666666,21,0.0,0.8204514002553331
92,5aedf0ce31ac6c002c69fd2d,0,POPULAR,449000.0,11,0.0,1.3748339535772471
234,5943034a1fa7633e4970ddfd,0,HIGHLY UNPOPULAR,831666.6666666666,11,0.0,1.3315314692656879
184,51f19ce0498ea41e70eb26f3,0,UNPOPULAR,2279279.0,31,-0.03636363636363636,1.504358372137777
43,5c072606ecb3ed00252104c0,18,HIGHLY POPULAR,831666.6666666666,27,-0.023809523809523808,1.4171520603956493
99,55d32f5f498e5a511a3a0bc5,0,POPULAR,449000.0,6,0.0,1.2443558594932045
86,4d824d2dbede548186840fd1,1,POPULAR,449000.0,11,0.0,1.3378338617621364
79,4ccedf7c3cb6b713d816c4c8,0,POPULAR,1733750.0,35,-0.18333333333333332,1.3465348627579896
12,5c267464492822002d60bbec,29,HIGHLY POPULAR,1627500.0,24,-0.08823529411764706,1.5428741332135565
242,51ca315d498e7e35b9715fc4,0,HIGHLY UNPOPULAR,2279279.0,24,-0.07692307692307693,1.477599105865901
130,4c7be141566db60c98014c0e,0,NEUTRAL,831666.6666666666,19,0.0,1.4039767365029412
219,4d51b028c305b60cc296921e,0,HIGHLY UNPOPULAR,970000.0,17,-0.05,1.4458638989583956
211,5203e9d4498e7a59f5cc26b6,0,HIGHLY UNPOPULAR,1200000.0,20,-0.08333333333333333,1.0791812460476249
123,53a074a3498e792cf1afa503,0,NEUTRAL,970000.0,8,-0.047619047619047616,1.4171520603956496
94,4b4ebb6ff964a520b9f426e3,0,POPULAR,1225401.0623052958,21,0.0,1.2362107245442102
182,4b4d34e3f964a5202dce26e3,0,UNPOPULAR,1200000.0,14,-0.2,0.6989700043360187
14,4416912af964a52004311fe3,354,HIGHLY POPULAR,1225401.0623052958,39,-0.019230769230769232,1.5220139700914623
13,3fd66200f964a5205de41ee3,775,HIGHLY POPULAR,970000.0,19,-0.14492753623188406,1.5062378595405677
70,58facf0a35f9834464fda9a0,0,POPULAR,2279279.0,19,-0.07352941176470588,1.4706150524380968
131,4d76c12d88235481d4a76e8c,0,NEUTRAL,1225401.0623052958,11,-0.07692307692307693,0.9750064312311533
213,43695300f964a5208f291fe3,0,HIGHLY UNPOPULAR,2227931.0,23,-0.05747126436781609,1.5966440670931445
247,4dd0b688e4cd130e169e2ff1,0,HIGHLY UNPOPULAR,630000.0,10,-0.02702702702702703,1.4868422657794336
204,4b620f4ff964a5201e332ae3,13,HIGHLY UNPOPULAR,437500.0,12,-0.06521739130434782,1.5269351426645585
22,4dbaf50d6a23e294ba086c36,0,HIGHLY POPULAR,437500.0,18,0.0,1.3767779228316688
68,53585042498e1cf44cce5539,0,POPULAR,449000.0,13,0.0,1.2709269960975826
78,5838d0426d63256686ec412c,0,POPULAR,437500.0,24,0.0,1.1680505452985441
164,4dbb504c1e72b351ca9672bf,0,UNPOPULAR,831666.6666666666,21,-0.25,0.6020599913279624
37,4b133991f964a520ad9523e3,65,HIGHLY POPULAR,1733750.0,24,0.0,1.392263729945913
56,54370f9f498e5b54166dcbbf,0,POPULAR,449000.0,20,-0.1111111111111111,1.1549291732153126
166,57e2beba498ef95c3baf3f77,8,UNPOPULAR,2279279.0,28,-0.030303030303030304,1.5282093726723478
159,4c092cc93c70b713e3c3275b,0,UNPOPULAR,2279279.0,42,-0.034482758620689655,1.3793552404744096
33,5ac91812f4b5250c90934432,16,HIGHLY POPULAR,970000.0,7,-0.05555555555555555,1.3597150711113508
72,58919925dc332974d335b975,0,POPULAR,449000.0,21,0.0,1.3618555058202406
208,4b74bb24f964a5200fef2de3,0,HIGHLY UNPOPULAR,2279279.0,38,-0.058823529411764705,1.5019468365203685
216,58517551e9efba52ab92cfe4,0,HIGHLY UNPOPULAR,2279279.0,19,-0.06944444444444445,1.4731416457366107
50,4b481566f964a520d94726e3,0,POPULAR,1225401.0623052958,20,-0.09375,1.5115977093032085
152,4e00d315a80917043436ecc5,0,UNPOPULAR,1200000.0,78,-0.12244897959183673,1.442831362074627
221,4cf8ea53de096dcb88258b79,0,HIGHLY UNPOPULAR,449000.0,20,-0.1111111111111111,1.1549291732153126
192,4a95bde2f964a5206a2420e3,0,UNPOPULAR,970000.0,7,-0.05714285714285714,1.4408577601226251
61,4eb9db8346906fa3575918ff,0,POPULAR,970000.0,20,-0.05,1.4401828044208191
173,4bab5ffdf964a52073a43ae3,0,UNPOPULAR,2227931.0,31,-0.06741573033707865,1.5481766488054787
0,3fd66200f964a5205ce91ee3,265,HIGHLY POPULAR,2227931.0,19,-0.0759493670886076,1.4439533583654456
89,540df8c8498e1524a6acd4f8,27,POPULAR,2279279.0,22,-0.043478260869565216,1.4465790716837412
3,4cbba91f0180721e72d3a061,11,HIGHLY POPULAR,437500.0,33,-0.045454545454545456,1.260323591095666
244,576c6145498e0976de7597a3,0,HIGHLY UNPOPULAR,831666.6666666666,14,0.0,1.3767779228316688
